Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_user_access_to_s3_uploads_fail/fixed.json,SAT,173.494,5370738225090001412000352259103359437872344348144218873574062186266482724997488817088064952177243122833532745263501317721298732173731100611527362480557914133827099528698043906504230424378427850277828573592364168200394620193420208032732644434596086240419959502322923685754609924781235946809709567350030069965283023056700360980076900593835577750843841818001349095313258587735548598732852493,54.9399,1,84492222167616227002584684550105909859192909146524392660803759133213830996081737440696384833698048220493028393862376391186382723516677884797535409021921976319280769242910231663502175499192885686051831996508864779,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/iam/exp_single/iam_user_access_to_s3_uploads_fail/initial.json,SAT,65.8016,330047742842250886728846424023851528211887810008096089009563067321925275218014771132997520080877002902723334941416022951712198682838913934019678091368505146096384393624672924457218525154911476039403096915707400,14.1786,1,8,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,SAT,22.2021,33470817545436131258126314871071411687628590794370048805126313721795951625123800202146796929865056831964510923763115873610735945557932499226921944105817499839222751771678190724834275317518125300600294982956607257006133950933215178245842208000,15.5364,1,5,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441600
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,SAT,40.0614,9203865559873890574542425985314567420979025534172261593203593822627282817971655461541457044021149491529087466880101782550084669248586290187487648941304173740308663558246787569276952877691520147738265710178662086300740328855244018553180357252681246729352529592885548476467754675017459882304835714982624246143671972525630957251340558339218660919449200244613237820595395435190324573657159157591579725721155544999033713521604936635132571166784214737009377179283101247388810268570901051822336423668330346643468571751450384537990785081670087125242271248881026690794357306290765424384259292669735348162612454232376094449222670494202200833,4.88388,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911041
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,SAT,11.1671,1,6.05433,1,1,1
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/fixed.json,SAT,70.8919,139661325356223938075503269048817442119714176413497048107959789299791576235142454683775080062082691603706270833135451754204895209433938363451036257839840154666168137753293824,5.77779,1,2,69830662678111969037751634524408721059857088206748524053979894649895788117571227341887540031041345801853135416567725877102447604716969181725518128919920077333084068876646912
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,SAT,27.2559,89623650172790013324641892081055565298544891130207132928051664946681843228648667480478820320022934807878778342990409998218213690214139484212958726401842932073428023255654892446793450932207742947021422148061391034899375449387162108133250562327670093043689235063323408446831085281318873042288461266020821808359083019616639168391871222165391580484150083587018236046924505649111101273013414793828131913306106986959410968415470070187072053879383131964046871189920818082860336733386309118,4.3902,1,2,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/iam/exp_single/iam_simplest_policy/policy.json,SAT,5.3436,44811825086395006662320983108000707232626364521145181663012574681618475565711513435357273524215874813446512110134560744530862530593671524313396516025480924628922008084774587950034963916136003447754844419391370914320117203287093355301843391087394275665753715658611191050571514735439495867186411649429443859102974239069817673588923113844620284548279849294046666533987820435291616714854147455005491356495071704200298229757990037142563268699877027402628844080143334681463640670947443201,1.16253,1,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
