Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_user_access_to_s3_uploads_fail/fixed.json,SAT,1526.19,889908363424232558504499235472981864494951847484465943908116399249482484218117533183399165788601943295589355506052514058956542758415685365996800523574472951291177132765688466246,130.711,1,21,63564883101730897036035659676641561749793176628988847343616977811349909833140437738262971251565934878424074223813190203526086092659536564083189299317562643189630151627332444241
/samples/iam/exp_single/iam_user_access_to_s3_uploads_fail/initial.json,SAT,979.497,317824415508654485180178298383207808747889570484255277266824244002041422442777891115173640391169101890946529305399876622426099193888769554832021663152111189266328263128179344643,11.4946,1,8,63564883101730897036035659676641561749577914096851055453364848800408284488555578223034728078233820378189305861079975324485219838777753910966404332630422237853265652625635868930
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,SAT,1431.43,22084671864965471590424062026185159590112439538141703859136361701732871640961993667190746136944625139381745581030687880306324173353709000000000000,11.6712,1,5,4416934372993094318084812405237031918022487907628340771827272340346574328192398733438149227388925027876349116206137576061264834670742000000000000
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,SAT,910.313,692014350964159281634060046799859412081839883943895750603996671716544109344395284545568947645751896240328019791555111861976498919973142022737868668718791908752171938733137826700845053548792081183344627229198787623985383318911515031291236430664882712680523669530965532942575549324618281159087469171846144693764711076617667317733535258748882355066997270629748082433042775059687527371249764164555251200,34.1588,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,30,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911040
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,SAT,651.055,1,4.39865,1,1,1
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/fixed.json,SAT,1041.22,223440974853052898097578785246106676254466083693691031861793250222647046140783570165846568732161154752814532468354000000000000,15.5541,1,2,111720487426526449048789392623053338127233041846845515930896625111323523070391785082923284366080577376407266234177000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,SAT,979.385,59135361803446879444299068603317515288239713702143524653900460048628769493235506431184929784379523168508414695812886066874626478402976488082055689434422020861373190353459781694235794236974132047668014848829478137772914137133965304098572144785509768713748065792519017899971057291561737660969310657515316231165615058079792275743537033468224130299089431232610430570195917315797000000000000,11.1535,1,2,4416934372993094318084812405237031918022487907628340771827272340346574328192398733438149227388925027876349116206137576061264834670742000000000000
/samples/iam/exp_single/iam_simplest_policy/policy.json,SAT,6179.35,133276614133420714346140811824070101825619752402558209646798790081677747036163769549990366551473618571831539492188536760907677932842832020556457922474257338680731549685392328961771550612532217555375722467690,1043.61,1,232,4442553804447357144871360394135670060853991746751940321559957926956044527558784660606288240957119355172452950286834123328064248705414668014585578477398923215162603251652999607281375233751668592378342461265
