Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_remove_permissions_individual_files/policy2.json,SAT,1341.86,8370866962535629295000422630723339735576724282666201900795925960326060538110737490152548201896160655022947564139123444465517122124389325279014564276898612424992405103940074779148069504037614919960809012165586940436308422706296660216944758800060875033092682799420144725098695526818254412168153838034315477349548548936927530294508924707556670966820052857558025998836707098925773663046229774234645722348933743206570298872208823558666580775391569181602430207955573528985159122974872143482037587018931980607391969852609113400520533047544690008263631091424790818520131256215812448564409323669218357998348346398442902879406340,169.849,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190977
/samples/s3/exp_single/s3_remove_permissions_individual_files/policy1.json,UNSAT,108.334,,,,,
/samples/s3/exp_single/s3_policy_failing_not_sure_why/policy.json,SAT,206.13,17880063311394750683873544510385248306436776170711616184790604792237740315901362867522001655599457871568673388238249136398763593118456046459134918641265416488879931031111420219477847148531279313009592604921371659738218605547389188390251900339665956730188075191174940456191874342972288096650235159104004356907214484365286863808083075886204999300742555344121695112337661670452512485586503150443748915577160622126585198303093781673056832180535763420013295039230718889349772247169957822238792505914610207052308562328097180004386374580723234473603304327261681020101140112816150732992788433945835520946121741539997639235701174856348933488617204619459472321348973626540419016773154505451016712276165268620194698322002116095,5401.79,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011354150751007042849718323726680118777457694019123468335457382915296921505289832160501650538515007210368173740611171375254651174973705106873122815
/samples/s3/exp_single/s3_bucket_policy_grant_read_specific_file_type/policy.json,SAT,26.8424,425513720919002232164428176653208521796727344816418207196326848575849519985562766589357295269640312268041484539269500866864829609734388422993873589872397953616625510822459825359207565549607596369790909821977346148991363046426026696258358824286671971067460796675202123833838644678473259510542299332740214315968707634842179498862235794901875127044800582668602506627571311173710201552070675367220715415010409326426915329,4.34861,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,63564883101730897036035659676641561749577914096851055453364848800408284488555578223034728078233820378189305861079975324485219838777753910966404332630422237853265652625635868929
/samples/s3/exp_single/s3_policy_provides_programmatic_access/policy3.json,SAT,1688.93,1648084270868188105624042492111032321789988204502872539815313650978116229332066433072633491993916431444602917070642190534159108392894623294153648743280738167791672790785658063687271648338790593874990012079422020880830233702778235229551458762543142894004910517868576042901895699273301729061132578646094893343686616137805879599129039714053431547722102871065902294229341844553707968348147701964579392508473514074072282563377522227058465322385012146426759803140759166370136350762050489408070023680085913029050259328428420850077198862429130754008281226092221817408233038895193086740121533116034491984836581413058168659428243433613629078502146588367425491225871447220083116212799889793393511062094046386724857797027001172319745887812153819087665283809341232160588441463407666407975666534268936597415878854689669266307411672091602195824561898095109154260974090066554015039354817947962444961372252005536468245122893088770040237429151846843973369856,95.1755,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_policy_provides_programmatic_access/policy2.json,SAT,163.941,25147770246401796045288734315659062527313052436872444760365503707551822346985876969492088195707953360665938065653109596773668035780252430635889415638438997921654151963467072366355895030440349592497648789684302849844964603449331669253078036560366147071739711521632780148416333984040944793982169488875249227569001548393407795216183981030453987281752270308544962859309792191826993682099063699660099439744830304144697504633723727962235048131780122431426224561826996481354175386091135191600727051017969864788868464914765179301746447556059961378805683181936277350436129228522813546256157878925844985607543310809476068488880151581223415810692046005601912101528926498384826104207359588802154817165285386300073496007946207819141392584390449714112850306799593268462843672227465202025683790793334634313947669397125393134030734570736026666072436463887856962566686625049187948222237706723707892621338227770605809812929585785126614245997060156293120,74.5243,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_policy_provides_programmatic_access/policy1.json,SAT,30.2186,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304515,26.3893,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,2
/samples/s3/exp_single/s3_policy_public_and_principal_specific_permissions/policy.json,SAT,66.7325,1827567515346385652097218313266441334585447105815431323767175665960017863755290474656571044842120642874465762067452133953428093226421641523319701476860066023880731490861759012191780696367571920173964678639906454527044698128087494529003150391123222627895293031537558309291181031355666606368386978796230908655400757937542938825049233885416418189986986634065150681240699397670861244829146980735928571537396520036837025018536002306,44.5779,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,273009094095997243762516491800961442828801682849872659755284478753738413325810294746303950968267187965461420370279613259151007242920845659936802363360369166250909224827202588254614388994
/samples/s3/exp_single/s3_sos_bucket_policy_problem/policy.json,SAT,68512.8,3672372161614756308327871205551675103670536653055759138350652822274436647943694509350044096301960984365232202457557328282579632284975308461391612013946986968253821058271974656125475710515804255015855870291490369753451971458342959356086682115619631106607724745805353851123825360449522060011060685744984671523166313783295141897039491557104858302457813277502013390737931440108808287692736341102877736047030857151950778860873334357559796249321685539838265730603939943783718324193535139817610047503813754919234610972008974464276034531110601192018051356840685435438336926110174388231137328280559035444895143082114995494861576594636456626612587914267328631773407720651606705357380146945988884840335692069474587611281283880437633094159516562187597136089087450582735298416839018825400554258461896306913968241421099969771582551325777842194276232761981206615347876706577945605,124831,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,17891923990675275367220280806667809117228347087249254629722323599605000655720303476493775730656358430504479645386644734551720410672060541169618279685185153679419586958275548823854408597045505
/samples/s3/exp_single/s3_policy_or_condition/policy.json,SAT,624.778,729205356337129137578456468102538302795171041252841101750726335165151475008594736295142707206520768768354165097281506510025911087085251039677111823092287218956987771432377094384308748931031149008377181159324212692044649265728256895060446701165021188653337965374880422273557273755780930972813832860939645977142011590719649396309617193504101666948669210591107807873573323807053122042040633005601019696630209051016173024803955689201954767667512733013909142662728032427547925681836482074197016956672554950423931721994099025047539156349927374137042348172158861278434992952793838584424189876225150622962236592196194315813317422768491867711665517178799424847475574787,127.345,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,76845228402468116658005496492574738894466380903872407235033969421432476334377258754735871510727564073470628858433316410070240384372189405255572100051651410757841194247621598754905949589731686215647489
