Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/7_.json,UNSAT,1212.93,,,,,,SAT,7987.26,2591673126796655045099617247604894130269350081217142530268803601610202509140116066460576062927838096052600255528546049816195036397604950165968683433937689949617721866116849021256127293216937999980944244038272575610836384252201530143879154555393623630454411530297106055874363256510569585580399072264367776311677232722230431994101279483855569262794921145416006655810324744779327223972857547554984901349535062000000000000,2892.12,1,159,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/4_.json,UNSAT,1138.76,,,,,,SAT,2838.06,191076659375469160504161348227513533360856473263087051054165278919300008690712770819078549709828696275493516274117519080354728940650593544991580657126631411708803016548667001783695936532525758876574190951539110330440007546514714317174944725153064318582969739073544520562358449277357144856669279965086179262665649922755873032580835584288100340264278000000000000,2473.59,1,2,4416934372993094318084812405237031918022487907628340771827272340346574328192398733438149227388925027876349116206137576061264834670742000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/3_.json,UNSAT,526.415,,,,,,SAT,64707.4,2074513869387721379307437769012860527976090073160412552823515057036389337073731362487927773883163176917093573426919701175222262180610201298149088460663272068638449447316588436790400525414121388997223205723890942683781556122081735069477889802008931144926952799745103346722859631621864001364504903560158406673179575359686033581075555321313325560265926487965739612410150922981310000000000000,58705.9,1,157,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/0_.json,UNSAT,510.045,,,,,,UNSAT,401.719,,,,,
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/5_.json,UNSAT,510.617,,,,,,SAT,64637.4,2074513869387721379307437769012860527976090073160412552823515057036389337073731362487927773883163176917093573426919701175222262180610201298149088460663272068638449447316588436790400525414121388997223205723890942683781556122081735069477889802008931144926952799745103346722859631621864001364504903560158406673179575359686033581075555321313325560265926487965739612410150922981310000000000000,58017.9,1,157,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/6_.json,UNSAT,1194.55,,,,,,SAT,8001.87,2591673126796655045099617247604894130269350081217142530268803601610202509140116066460576062927838096052600255528546049816195036397604950165968683433937689949617721866116849021256127293216937999980944244038272575610836384252201530143879154555393623630454411530297106055874363256510569585580399072264367776311677232722230431994101279483855569262794921145416006655810324744779327223972857547554984901349535062000000000000,2857.74,1,159,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/2_.json,UNSAT,1184.67,,,,,,SAT,2899.67,191076659375469160504161348227513533360856473263087051054165278919300008690712770819078549709828696275493516274117519080354728940650593544991580657126631411708803016548667001783695936532525758876574190951539110330440007546514714317174944725153064318582969739073544520562358449277357144856669279965086179262665649922755873032580835584288100340264278000000000000,2395.06,1,2,4416934372993094318084812405237031918022487907628340771827272340346574328192398733438149227388925027876349116206137576061264834670742000000000000
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/initial.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/initial/1_.json,UNSAT,526.781,,,,,,UNSAT,467.117,,,,,
/samples/iam/exp_single/iam_simplest_policy/policy.json,/samples/mutations/iam/exp_single/iam_simplest_policy/policy/0_.json,UNSAT,21141.8,,,,,,UNSAT,20913.3,,,,,
/samples/iam/exp_single/iam_simplest_policy/policy.json,/samples/mutations/iam/exp_single/iam_simplest_policy/policy/1_.json,UNSAT,21095.9,,,,,,UNSAT,20898.9,,,,,
