Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_1.json,SAT,1327.52,2026819514568683537692922435130337751561023693477454626023231970267753980530815628196560531988415603455585584828955848835937077771444358179370820745587380690246750085117152015202257223884032,4.03809,1,29,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,SAT,1262.07,4442553804447357074981032305560375657649769845705810957386718235499918394527755712399888793513815523161268811764060425356275841324879900971094977432538648817208083609209511325840126082523755285200452029731,21.8597,1,55,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_0.json,UNSAT,1211.41,,,,,,UNSAT,1230.77,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_0.json,UNSAT,1315.94,,,,,,UNSAT,1258.84,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/7_.json,UNSAT,405.098,,,,,,SAT,722.94,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124449520561804818410607957172981756330805783784570974842622149425235614242426536314621943730044304234384553367841123274087116770128236123054251163775220411763299807402217297899030562029018877096644729410856838672990440381288491713185303917514703559511083082501016194903474538543412658438464610456784314869436397925306157616818407859980282017882067497044386211301831084585745442378293616348714560498365360927952197389785068929735461765068775706159306516830254050300400901196307815530240,433.254,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707648
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/4_.json,UNSAT,403.273,,,,,,SAT,769.594,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124449520561804818410607957172981756330805783784570974842622149425235614242426536314621943730044304234384553367841123274087116770128236123054251163775220411763299807402217297899030562029018877096644729410856838672990440381288491713185303917514703559511083082501016194903474538543412658438464610456784314869436397925306157616818407859980282017882067497044386211301831084585745442378293616348714560498365360927952197389785068929735461765068775706159306516830254050300400901196307815530240,440.592,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707648
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/3_.json,UNSAT,1317.71,,,,,,UNSAT,1207.77,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/0_.json,UNSAT,1265.21,,,,,,UNSAT,1260.04,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/5_.json,UNSAT,1321.4,,,,,,UNSAT,1205.66,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/6_.json,UNSAT,402.304,,,,,,SAT,730.574,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124449520561804818410607957172981756330805783784570974842622149425235614242426536314621943730044304234384553367841123274087116770128236123054251163775220411763299807402217297899030562029018877096644729410856838672990440381288491713185303917514703559511083082501016194903474538543412658438464610456784314869436397925306157616818407859980282017882067497044386211301831084585745442378293616348714560498365360927952197389785068929735461765068775706159306516830254050300400901196307815530240,427.543,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707648
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/2_.json,UNSAT,405.537,,,,,,SAT,689.98,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124449520561804818410607957172981756330805783784570974842622149425235614242426536314621943730044304234384553367841123274087116770128236123054251163775220411763299807402217297899030562029018877096644729410856838672990440381288491713185303917514703559511083082501016194903474538543412658438464610456784314869436397925306157616818407859980282017882067497044386211301831084585745442378293616348714560498365360927952197389785068929735461765068775706159306516830254050300400901196307815530240,434.981,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707648
