Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
84codes.CloudAMQP,,84codes.CloudAMQP/updateCommunicationPreference/action,Update Communication Preferences,Updates Communication Preferences,FALSE
84codes.CloudAMQP,,84codes.CloudAMQP/listCommunicationPreference/action,List Communication Preferences,Read any Communication Preferences,FALSE
84codes.CloudAMQP,operations,84codes.CloudAMQP/operations/read,Read Operations,Read any Operation,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/read,Read server,Read any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/write,Create or Update server,Create or Update any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/delete,Delete server,Deletes any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/listSecrets/action,List Secrets,Read any server Secrets,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/regenerateKeys/action,Regenerate Keys,Regenerate any server Keys,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/listSingleSignOnToken/action,List Single Sign On Tokens,Read any server Single Sign On Tokens,FALSE
LiveArena.Broadcast,,LiveArena.Broadcast/updateCommunicationPreference/action,Update Communication Preference,Updates the communication preferences for the owner of LiveArena.Broadcast,FALSE
LiveArena.Broadcast,,LiveArena.Broadcast/listCommunicationPreference/action,List Communication Preference,Gets the communication preferences for the owner of LiveArena.Broadcast,FALSE
LiveArena.Broadcast,Operations,LiveArena.Broadcast/Operations/read,Operations,List the operations for LiveArena.Broadcast,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Read,Read,Gets the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Write,Write,Updates the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Delete,Delete,Deletes the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/regenerateKey/action,Regenerate Key,Regenerate key(s) for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/listSecrets/action,List Secrets,List the secrets for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/listSingleSignOnToken/action,Read Single Sign On Authorization Token,Gets the single sign on authorization token for LiveArena.Broadcast/services,FALSE
Mailjet.Email,,Mailjet.Email/updateCommunicationPreference/action,Update Communication Preferences,Updates Communication Preferences,FALSE
Mailjet.Email,,Mailjet.Email/listCommunicationPreference/action,List Communication Preferences,Read Any Communication Preferences,FALSE
Mailjet.Email,operations,Mailjet.Email/operations/read,Read Operations,Read any Operation,FALSE
Mailjet.Email,services,Mailjet.Email/services/listSecrets/action,List Secrets,Read Any services Secrets,FALSE
Mailjet.Email,services,Mailjet.Email/services/listSingleSignOnToken/action,List Single Sign On Tokens,Read Any services Single Sign On Tokens,FALSE
Mailjet.Email,services,Mailjet.Email/services/write,Create or Upgrade services Plan,Create or Upgrade any services,FALSE
Mailjet.Email,services,Mailjet.Email/services/read,Read services,Read any services,FALSE
Mailjet.Email,services,Mailjet.Email/services/delete,Delete services,Delete any services,FALSE
Microsoft.AAD,,Microsoft.AAD/unregister/action,Unregister Domain Service,Unregister Domain Service,FALSE
Microsoft.AAD,,Microsoft.AAD/register/action,Register Domain Service,Register Domain Service,FALSE
Microsoft.AAD,locations/operationresults,Microsoft.AAD/locations/operationresults/read,null,null,FALSE
Microsoft.AAD,Operations,Microsoft.AAD/Operations/read,null,null,FALSE
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/read,Read Domain Service,Read Domain Services,FALSE
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/write,Write Domain Service,Write Domain Service,FALSE
Microsoft.AAD,domainServices,Microsoft.AAD/domainServices/delete,Delete Domain Service,Delete Domain Service,FALSE
Microsoft.AAD,domainServices/providers/Microsoft.Insights/diagnosticSettings,Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/read,Read diagnostic setting for Domain Service,Gets the diagnostic setting for Domain Service,FALSE
Microsoft.AAD,domainServices/providers/Microsoft.Insights/diagnosticSettings,Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting for the Domain Service resource,Creates or updates the diagnostic setting for the Domain Service resource,FALSE
Microsoft.AAD,domainServices/providers/Microsoft.Insights/logDefinitions,Microsoft.AAD/domainServices/providers/Microsoft.Insights/logDefinitions/read,Gets the available logs for Domain Service,Gets the available logs for Domain Service,FALSE
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/read,Read Ou Container,Read Ou Containers,FALSE
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/write,Write Ou Container,Write Ou Container,FALSE
Microsoft.AAD,domainServices/oucontainer,Microsoft.AAD/domainServices/oucontainer/delete,Delete Ou Container,Delete Ou Container,FALSE
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/read,Azure AD Metrics Definition read,Read Azure AD Metrics Definition,FALSE
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/write,Azure AD Metrics Definition write,Create and Update Azure AD Metrics Definition,FALSE
microsoft.aadiam,azureADMetrics,microsoft.aadiam/azureADMetrics/delete,Azure AD Metrics Definition delete,Delete Azure AD Metrics Definition,FALSE
microsoft.aadiam,azureADMetrics/providers/Microsoft.Insights/metricDefinitions,microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/metricDefinitions/read,Read azureADMetrics metric definitions,Gets the available metrics for azureADMetrics,FALSE
microsoft.aadiam,azureADMetrics/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/diagnosticSettings/read,Read diagnostic setting,Gets the diagnostic setting for the resource,FALSE
microsoft.aadiam,azureADMetrics/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting,Creates or updates the diagnostic setting for the resource,FALSE
microsoft.aadiam,diagnosticsettings,microsoft.aadiam/diagnosticsettings/write,Diagnostic settings write,Writing a diagnostic setting,FALSE
microsoft.aadiam,diagnosticsettings,microsoft.aadiam/diagnosticsettings/read,Diagnostic settings read,Reading a diagnostic setting,FALSE
microsoft.aadiam,diagnosticsettings,microsoft.aadiam/diagnosticsettings/delete,Diagnostic settings delete,Deleting a diagnostic setting,FALSE
microsoft.aadiam,diagnosticsettingscategories,microsoft.aadiam/diagnosticsettingscategories/read,Diagnostic settings categories read,Reading a diagnostic setting categories,FALSE
microsoft.aadiam,metricDefinitions,microsoft.aadiam/metricDefinitions/read,Metric Definitions read,Reading Tenant-Level Metric Definitions,FALSE
microsoft.aadiam,metrics,microsoft.aadiam/metrics/read,Metrics read,Reading Tenant-Level Metrics,FALSE
microsoft.aadiam,privateLinkForAzureAD,microsoft.aadiam/privateLinkForAzureAD/read,Private Link Policy Definition read,Read Private Link Policy Definition,FALSE
microsoft.aadiam,privateLinkForAzureAD,microsoft.aadiam/privateLinkForAzureAD/write,Private Link Policy Definition read,Create and Update Private Link Policy Definition,FALSE
microsoft.aadiam,privateLinkForAzureAD,microsoft.aadiam/privateLinkForAzureAD/delete,Private Link Policy Definition read,Delete Private Link Policy Definition,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnectionProxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read,Private Link Proxies read,Read Private Link Proxies,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnectionProxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete,Private Link Proxies read,Delete Private Link Proxies,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnectionProxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action,Private Link Proxies validate,Validate Private Link Proxies,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read,PrivateEndpointConnections read,Read PrivateEndpointConnections,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write,PrivateEndpointConnections read,Create and Update PrivateEndpointConnections,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete,PrivateEndpointConnections read,Delete PrivateEndpointConnections,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read,PrivateLinkResources read,Read PrivateLinkResources,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write,PrivateLinkResources read,Create and Update PrivateLinkResources,FALSE
microsoft.aadiam,privateLinkForAzureAD/privateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete,PrivateLinkResources read,Delete PrivateLinkResources,FALSE
microsoft.aadiam,tenants/providers/Microsoft.Insights/logDefinitions,microsoft.aadiam/tenants/providers/Microsoft.Insights/logDefinitions/read,Read tenants log definitions,Gets the available logs for tenants,FALSE
microsoft.aadiam,tenants/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/read,Read diagnostic setting,Gets the diagnostic setting for the resource,FALSE
microsoft.aadiam,tenants/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting,Creates or updates the diagnostic setting for the resource,FALSE
Microsoft.Addons,,Microsoft.Addons/register/action,Register for Microsoft.Addons,Register the specified subscription with Microsoft.Addons,FALSE
Microsoft.Addons,supportProviders,Microsoft.Addons/supportProviders/listsupportplaninfo/action,List support plan information.,Lists current support plan information for the specified subscription.,FALSE
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/read,Get Canonical support plan state,Get the specified Canonical support plan state.,FALSE
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/write,Adds a Canonical support plan.,Adds the Canonical support plan type specified.,FALSE
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/delete,Removes the Canonical support plan,Removes the specified Canonical support plan,FALSE
Microsoft.Addons,operations,Microsoft.Addons/operations/read,Get RP operations.,Gets supported RP operations.,FALSE
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/configuration/action,Updates Tenant Configuration.,Updates Tenant Configuration.,FALSE
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/services/action,Updates a service.,Updates a service instance in the tenant.,FALSE
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/addsservices/action,Create a new forest.,Create a new forest for the tenant.,FALSE
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/register/action,Registers the ADHybrid Health Service Resource Provider.,Registers the ADHybrid Health Service Resource Provider and enables the creation of ADHybrid Health Service resource.,FALSE
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/unregister/action,Unregisters the ADHybrid Health Service Resource Provider.,Unregisters the subscription for ADHybrid Health Service Resource Provider.,FALSE
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/write,Creates or Updates the ADDomainService.,Creates or Updates the ADDomainService instance for the tenant.,FALSE
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/servicemembers/action,Add a server.,Add a server instance to the service.,FALSE
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/read,Gets Service details.,Gets Service details for the specified service name.,FALSE
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/delete,Deletes a Service.,Deletes a Service and it's servers along with Health data.,FALSE
Microsoft.ADHybridHealthService,addsservices/addomainservicemembers,Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read,Gets all servers.,Gets all servers for the specified service name.,FALSE
Microsoft.ADHybridHealthService,addsservices/alerts,Microsoft.ADHybridHealthService/addsservices/alerts/read,Gets alerts for the forest.,"Gets alerts details for the forest like alertid, alert raised date, alert last detected, alert description, last updated, alert level, alert state, alert troubleshooting links etc. .",FALSE
Microsoft.ADHybridHealthService,addsservices/configuration,Microsoft.ADHybridHealthService/addsservices/configuration/read,Gets Service Configuration for the forest.,"Gets Service Configuration for the forest. Example- Forest Name, Functionla Level, Domain Naming master FSMO role, Schema master FSMO role etc.",FALSE
Microsoft.ADHybridHealthService,addsservices/dimensions,Microsoft.ADHybridHealthService/addsservices/dimensions/read,Gets the domains and sites details for the forest.,"Gets the domains and sites details for the forest. Example- health status, active alerts, resolved alerts, properties like Domain Functional Level, Forest, Infrastructure Master, PDC, RID master etc. ",FALSE
Microsoft.ADHybridHealthService,addsservices/features/userpreference,Microsoft.ADHybridHealthService/addsservices/features/userpreference/read,Gets the user preference setting.,"Gets the user preference setting for the forest. Example- MetricCounterName like ldapsuccessfulbinds, ntlmauthentications, kerberosauthentications, addsinsightsagentprivatebytes, ldapsearches. Settings for the UI Charts etc.",FALSE
Microsoft.ADHybridHealthService,addsservices/forestsummary,Microsoft.ADHybridHealthService/addsservices/forestsummary/read,Gets forest summary.,"Gets forest summary for the given forest like forest name, number of domains under this forest, number of sites and sites details etc.",FALSE
Microsoft.ADHybridHealthService,addsservices/metricmetadata,Microsoft.ADHybridHealthService/addsservices/metricmetadata/read,Gets the list of supported metrics for a given service.,"Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.",FALSE
Microsoft.ADHybridHealthService,addsservices/metrics/groups,Microsoft.ADHybridHealthService/addsservices/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",FALSE
Microsoft.ADHybridHealthService,addsservices/premiumcheck,Microsoft.ADHybridHealthService/addsservices/premiumcheck/read,Gets onboarded ADDomainServices for a premium tenant.,This API gets the list of all onboarded ADDomainServices for a premium tenant.,FALSE
Microsoft.ADHybridHealthService,addsservices/replicationdetails,Microsoft.ADHybridHealthService/addsservices/replicationdetails/read,Gets replication details.,Gets replication details for all the servers for the specified service name.,FALSE
Microsoft.ADHybridHealthService,addsservices/replicationstatus,Microsoft.ADHybridHealthService/addsservices/replicationstatus/read,Gets replication error status.,Gets the number of domain controllers and their replication errors if any.,FALSE
Microsoft.ADHybridHealthService,addsservices/replicationsummary,Microsoft.ADHybridHealthService/addsservices/replicationsummary/read,Gets domain controller replication summary.,Gets complete domain controller list along with replication details for the given forest.,FALSE
Microsoft.ADHybridHealthService,addsservices/servicemembers,Microsoft.ADHybridHealthService/addsservices/servicemembers/delete,Deletes a server.,Deletes a server for a given service and tenant.,FALSE
Microsoft.ADHybridHealthService,addsservices/servicemembers/credentials,Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read,Gets the credentials for service authentication.,"During server registration of ADDomainService, this api is called to get the credentials for onboarding new servers.",FALSE
Microsoft.ADHybridHealthService,logs,Microsoft.ADHybridHealthService/logs/read,Gets agent logs.,Gets agent installation and registration logs for the tenant.,FALSE
Microsoft.ADHybridHealthService,logs/contents,Microsoft.ADHybridHealthService/logs/contents/read,Gets the content of a log stored in blob.,Gets the content of agent installation and registration logs stored in blob.,FALSE
Microsoft.ADHybridHealthService,reports/availabledeployments,Microsoft.ADHybridHealthService/reports/availabledeployments/read,Gets list of available regions for DevOps.,"Gets list of available regions, used by DevOps to support customer incidents.",FALSE
Microsoft.ADHybridHealthService,reports/badpassword,Microsoft.ADHybridHealthService/reports/badpassword/read,Gets the list of bad password attempts.,Gets the list of bad password attempts for all the users in Active Directory Federation Service.,FALSE
Microsoft.ADHybridHealthService,reports/consentedtodevopstenants,Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read,Gets the list of DevOps consented tenants.,Gets the list of DevOps consented tenants. Typically used for customer support.,FALSE
Microsoft.ADHybridHealthService,reports/isdevops,Microsoft.ADHybridHealthService/reports/isdevops/read,Gets a value indicating wheather the teannt is DevOps Consented or not.,Gets a value indicating wheather the teannt is DevOps Consented or not.,FALSE
Microsoft.ADHybridHealthService,reports/selectdevopstenant,Microsoft.ADHybridHealthService/reports/selectdevopstenant/read,Updates userid(objectid) for the selected dev ops tenant.,Updates userid(objectid) for the selected dev ops tenant.,FALSE
Microsoft.ADHybridHealthService,reports/selecteddeployment,Microsoft.ADHybridHealthService/reports/selecteddeployment/read,Gets selected deployment.,Gets selected deployment for the given tenant.,FALSE
Microsoft.ADHybridHealthService,reports/tenantassigneddeployment,Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read,Gets tenant storage mapping.,Given a tenant id gets the tenant storage location.,FALSE
Microsoft.ADHybridHealthService,reports/updateselecteddeployment,Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read,Gets the browsing location for the users.,Gets the geo location from which data will be accessed.,FALSE
Microsoft.ADHybridHealthService,operations,Microsoft.ADHybridHealthService/operations/read,Gets operations.,Gets list of operations supported by system.,FALSE
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/write,Creates a service.,Creates a service instance in the tenant.,FALSE
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/read,Reads services.,Reads the service instances in the tenant.,FALSE
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/delete,Deletes service.,Deletes a service instance in the tenant.,FALSE
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/servicemembers/action,Creates a server.,Creates or updates a server instance in the service.,FALSE
Microsoft.ADHybridHealthService,services/alerts,Microsoft.ADHybridHealthService/services/alerts/read,Reads the service alerts.,Reads the alerts for a service.,FALSE
Microsoft.ADHybridHealthService,services/alerts,Microsoft.ADHybridHealthService/services/alerts/read,Reads the service alerts.,Reads the alerts for a service.,FALSE
Microsoft.ADHybridHealthService,services/feedbacktype/feedback,Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read,Gets alerts feedback.,Gets alerts feedback for a given service and server.,FALSE
Microsoft.ADHybridHealthService,services/ipAddressAggregates,Microsoft.ADHybridHealthService/services/ipAddressAggregates/read,Reads ipAddressAggregates.,Reads the bad IPs which attempted to access the service.,FALSE
Microsoft.ADHybridHealthService,services/ipAddressAggregateSettings,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read,Reads ipAddressAggregateSettings.,Reads alarm thresholds for bad IPs.,FALSE
Microsoft.ADHybridHealthService,services/ipAddressAggregateSettings,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write,Writes ipAddressAggregateSettings.,Writes alarm thresholds for bad IPs.,FALSE
Microsoft.ADHybridHealthService,services/metricmetadata,Microsoft.ADHybridHealthService/services/metricmetadata/read,Gets the list of supported metrics for a given service.,"Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.",FALSE
Microsoft.ADHybridHealthService,services/metrics/groups,Microsoft.ADHybridHealthService/services/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",FALSE
Microsoft.ADHybridHealthService,services/metrics/groups/average,Microsoft.ADHybridHealthService/services/metrics/groups/average/read,Gets average view for metrics and performance data.,"Given a service, this API gets the average for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",FALSE
Microsoft.ADHybridHealthService,services/metrics/groups/sum,Microsoft.ADHybridHealthService/services/metrics/groups/sum/read,Gets aggregated view for metrics and performance data.,"Given a service, this API gets the aggregated view for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",FALSE
Microsoft.ADHybridHealthService,services/monitoringconfiguration,Microsoft.ADHybridHealthService/services/monitoringconfiguration/write,Add or updates monitoring configuration for a service.,Add or updates monitoring configuration for a service.,FALSE
Microsoft.ADHybridHealthService,services/monitoringconfigurations,Microsoft.ADHybridHealthService/services/monitoringconfigurations/read,Gets monitoring configurations for a service,Gets the monitoring configurations for a given service.,FALSE
Microsoft.ADHybridHealthService,services/monitoringconfigurations,Microsoft.ADHybridHealthService/services/monitoringconfigurations/write,Add or updates monitoring configurations for a service.,Add or updates monitoring configurations for a service.,FALSE
Microsoft.ADHybridHealthService,services/premiumcheck,Microsoft.ADHybridHealthService/services/premiumcheck/read,Gets onboarded services for premium tenants.,This API gets the list of all onboarded services for a premium tenant.,FALSE
Microsoft.ADHybridHealthService,services/reports,Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action,Initiate generation of new risky IP report.,Generates Risky IP report and returns a URI pointing to it.,FALSE
Microsoft.ADHybridHealthService,services/reports/blobUris,Microsoft.ADHybridHealthService/services/reports/blobUris/read,Gets all Risky IP report URIs.,Gets all Risky IP report URIs for the last 7 days.,FALSE
Microsoft.ADHybridHealthService,services/reports/details,Microsoft.ADHybridHealthService/services/reports/details/read,Gets report for bad password.,Gets report of top 50 users with bad password errors from last 7 days,FALSE
Microsoft.ADHybridHealthService,services/checkservicefeatureavailibility,Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read,Gets if a feature is enabled for a service.,Given a feature name verifies if a service has everything required to use that feature.,FALSE
Microsoft.ADHybridHealthService,services/exporterrors,Microsoft.ADHybridHealthService/services/exporterrors/read,Gets the export errors for a given sync service.,Gets the export errors for a given sync service.,FALSE
Microsoft.ADHybridHealthService,services/exportstatus,Microsoft.ADHybridHealthService/services/exportstatus/read,Gets the export status for a given service.,Gets the export status for a given service.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers,Microsoft.ADHybridHealthService/services/servicemembers/read,Reads a server.,Reads the server instance in the service.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers,Microsoft.ADHybridHealthService/services/servicemembers/delete,Deletes server.,Deletes a server instance in the service.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers/alerts,Microsoft.ADHybridHealthService/services/servicemembers/alerts/read,Reads the server alerts.,Reads the alerts for a server.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers/credentials,Microsoft.ADHybridHealthService/services/servicemembers/credentials/read,Gets the credentials for service authentication.,"During server registration, this api is called to get the credentials for onboarding new servers.",FALSE
Microsoft.ADHybridHealthService,services/servicemembers/datafreshness,Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read,Gets the data freshness status.,"For a given server, this API gets a list of  datatypes that are being uploaded by the servers and the latest time for each upload.",FALSE
Microsoft.ADHybridHealthService,services/servicemembers/exportstatus,Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read,Gets the Sync Export Error details.,Gets the Sync Export Error details for a given Sync Service.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers/metrics,Microsoft.ADHybridHealthService/services/servicemembers/metrics/read,Gets the list of connectors and run profile names.,Gets the list of connectors and run profile names for the given service and service member.,FALSE
Microsoft.ADHybridHealthService,services/servicemembers/metrics/groups,Microsoft.ADHybridHealthService/services/servicemembers/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",FALSE
Microsoft.ADHybridHealthService,services/servicemembers/serviceconfiguration,Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read,Gets service configuration.,Gets service configuration for a given tenant.,FALSE
Microsoft.ADHybridHealthService,services/tenantwhitelisting,Microsoft.ADHybridHealthService/services/tenantwhitelisting/read,Gets feature whitelisting status.,Gets feature whitelisting status for a given tenant.,FALSE
Microsoft.ADHybridHealthService,reports/badpassworduseridipfrequency,Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read,Gets Blob SAS Uri for enqueued report job.,Gets Blob SAS URI containing status and eventual result of newly enqueued report job for frequency of Bad Username/Password attempts per UserId per IPAddress per Day for a given Tenant.,FALSE
Microsoft.ADHybridHealthService,configuration,Microsoft.ADHybridHealthService/configuration/write,Creates a new Tenant.,Creates a Tenant Configuration.,FALSE
Microsoft.ADHybridHealthService,configuration,Microsoft.ADHybridHealthService/configuration/read,Reads Tenant Configuration.,Reads the Tenant Configuration.,FALSE
Microsoft.Advisor,,Microsoft.Advisor/generateRecommendations/action,Generate Recommendations,Gets generate recommendations status,FALSE
Microsoft.Advisor,,Microsoft.Advisor/register/action,Register with the Provider,Registers the subscription for the Microsoft Advisor,FALSE
Microsoft.Advisor,,Microsoft.Advisor/unregister/action,Unregister with the Provider,Unregisters the subscription for the Microsoft Advisor,FALSE
Microsoft.Advisor,configurations,Microsoft.Advisor/configurations/read,Read Configurations,Get configurations,FALSE
Microsoft.Advisor,configurations,Microsoft.Advisor/configurations/write,Create/Update Configuration,Creates/updates configuration,FALSE
Microsoft.Advisor,generateRecommendations,Microsoft.Advisor/generateRecommendations/read,Get generate recommendations status,Gets generate recommendations status,FALSE
Microsoft.Advisor,metadata,Microsoft.Advisor/metadata/read,Read Metadata,Get Metadata,FALSE
Microsoft.Advisor,operations,Microsoft.Advisor/operations/read,Get operations,Gets the operations for the Microsoft Advisor,FALSE
Microsoft.Advisor,recommendations,Microsoft.Advisor/recommendations/read,Read recommendations,Reads recommendations,FALSE
Microsoft.Advisor,recommendations,Microsoft.Advisor/recommendations/available/action,New recommendation is available,New recommendation is available in Microsoft Advisor,FALSE
